Item_Description
BRASSERIE DUPONT,BIERE DE MIELBIERE DE MIEL,BEER,SAISON,BLONDE/GOLD,,HONEY,HONEY,8%,GLASS,BOTTLE,REFILLABLE PACKAGING,750ML,X1,
DU BOCQ,SUPER DES FAGNESSUPER DES FAGNES,BEER,LAGER,BLONDE/GOLD,,,,7.5%,GLASS,BOTTLE,REFILLABLE PACKAGING,250ML,X1,
HEINEKEN,DESPERADOSDESPERADOS,BEER,LAGER,BLONDE/GOLD,,LIQUOR,TEQUILA,5.9%,METAL,CAN,,500ML,X1,
HEINEKEN,MORT SUBITEMORT SUBITE,BEER,LAMBIC/LAMBIEK,RED/RUBY,,CHERRY,BLACK CHERRY,4.5%,GLASS,BOTTLE,REFILLABLE PACKAGING,250ML,X8,
VAN HONSEBROUCK,BRIGAND (VAN HONSEBROUCK)BRIGAND,BEER,ALE,BLONDE/GOLD,,,,9%,GLASS,BOTTLE,REFILLABLE PACKAGING,330ML,X6,
DU BOCQ,LA GAULOISELA GAULOISE,BEER,ALE,BLONDE/GOLD,,,,6.3%,GLASS,BOTTLE,,330ML,X1,
CARREFOUR,CARREFOURCARREFOUR,BEER,TRIPEL/TRIPLE,BLONDE/GOLD,,,,3.4%,GLASS,BOTTLE,REFILLABLE PACKAGING,750ML,X1,
DUBUISSON,BUSH (DUBUISSON)BUSH,BEER,GUEUZE,BLONDE/GOLD,,PEACH,PEACH,8.5%,GLASS,BOTTLE,REFILLABLE PACKAGING,330ML,X4,
ANHEUSER BUSCH INBEV,JUPILERJUPILER BLUE,BEER,PILS/PILSENER/PILSNER,BLONDE/GOLD,,,,3.3%,METAL,CAN,,330ML,X24,
HEINEKEN,DESPERADOSDESPERADOS,BEER,LAGER,BLONDE/GOLD,,LIQUOR,TEQUILA,5.9%,GLASS,BOTTLE,,330ML,X24,
COLRUYT,UNBRANDED (COLRUYT)UNBRANDED,BEER,ASSORTED,ASSORTED,,ASSORTED,ASSORTED,ASSORTED,GLASS,BOTTLE,REFILLABLE PACKAGING,330ML,X8,
VAN EECKE,HET KAPITTELHET KAPITTEL WATOU,BEER,,BLACK/DARK,,,,9%,GLASS,BOTTLE,,330ML,X1,
ANHEUSER BUSCH INBEV,LEFFELEFFE,BEER,PALE ALE,BLONDE/GOLD,,,,6.6%,GLASS,BOTTLE,REFILLABLE PACKAGING,330ML,X1,
CARLSBERG,GRIMBERGEN (CARLSBERG)GRIMBERGEN,BEER,QUADRUPEL/QUADRUPLE,BLACK/DARK,,,,10%,GLASS,BOTTLE,REFILLABLE PACKAGING,330ML,X24,
ANHEUSER BUSCH INBEV,JUPILERJUPILER,BEER,PILS/PILSENER/PILSNER,BLONDE/GOLD,,,,5.2%,GLASS,BOTTLE,REFILLABLE PACKAGING,330ML,X1,
ST. FEUILLIEN,GRISETTEGRISETTE,BEER,WHEAT BEER,RED/RUBY,,BERRY,FRUITS DES BOIS,3.5%,GLASS,BOTTLE,REFILLABLE PACKAGING,250ML,X6,INC 1 FREE
HEINEKEN,JUDASJUDAS,BEER,PALE ALE,BLONDE/GOLD,,,,8.5%,GLASS,BOTTLE,REFILLABLE PACKAGING,330ML,X1,
ANNOEULLIN,RINCE COCHONRINCE COCHON,BEER,LAGER,BLONDE/GOLD,,,,8.5%,GLASS,BOTTLE,,330ML,X1,
BRASSERIE DES LEGENDES,QUINTINEQUINTINE,BEER,ALE,BLONDE/GOLD,,,,5.9%,GLASS,BOTTLE,REFILLABLE PACKAGING,330ML,X1,
BIERES DE CHIMAY,CHIMAYCHIMAY,BEER,ASSORTED,ASSORTED,,,,ASSORTED,GLASS,BOTTLE,REFILLABLE PACKAGING,330ML,X3,+GLASS
BAVIK,KWAREMONTKWAREMONT,BEER,ALE,BLONDE/GOLD,,,,6.6%,GLASS,BOTTLE,REFILLABLE PACKAGING,330ML,X6,+GLASS
DU BOCQ,SUPER DES FAGNESSUPER DES FAGNES,BEER,ALE,AMBER/COPPER,,,,7.5%,GLASS,BOTTLE,REFILLABLE PACKAGING,250ML,X4,
BOCKOR,JACOBINSJACOBINS,BEER,KRIEK,RED/RUBY,,CHERRY,CHERRY,3.5%,GLASS,BOTTLE,REFILLABLE PACKAGING,250ML,X4,INC 1 FREE
HEINEKEN,SAGRES (HEINEKEN)SAGRES,BEER,PILS/PILSENER/PILSNER,BLONDE/GOLD,,,,5%,GLASS,BOTTLE,,330ML,X1,
HET ANKER,GOUDEN CAROLUSGOUDEN CAROLUS,BEER,ALE,AMBER/COPPER,,,,8%,GLASS,BOTTLE,REFILLABLE PACKAGING,330ML,X6,
ST. JOZEF,BOSBIERBOSBIER,BEER,GUEUZE,BLONDE/GOLD,,BLUEBERRY,BLUEBERRY,4.5%,GLASS,BOTTLE,REFILLABLE PACKAGING,250ML,X8,
DU BOCQ,SUPER DES FAGNESSUPER DES FAGNES,BEER,ALE,AMBER/COPPER,,,,7.5%,GLASS,BOTTLE,REFILLABLE PACKAGING,750ML,X1,
BRASSERIE DE SAINT OMER,SAINT OMERSAINT OMER,BEER BASED PRE MIX,PANACHE,,LEMON,LEMON,0.5%,GLASS,BOTTLE,,250ML,X10,
ANHEUSER BUSCH INBEV,BECKS (ANHEUSER BUSCH INBEV)BECKS,BEER,PILS/PILSENER/PILSNER,BLONDE/GOLD,,,,5%,METAL,CAN,,500ML,X24,
BOCKOR,BOCKORBOCKOR,BEER,PILS/PILSENER/PILSNER,BLONDE/GOLD,,,,5.2%,GLASS,BOTTLE,REFILLABLE PACKAGING,250ML,X24,INC 4 FREE
BAVIK,WITTEKERKEWITTEKERKE,BEER,BIERE BLANCHE/WITBIER,BLONDE/GOLD,,,,5%,GLASS,BOTTLE,REFILLABLE PACKAGING,250ML,X6,+GLASSES
BIERBROUWERIJ VERMEERSEN,BRUGSE ZOTBRUGSE ZOT,BEER,ALE,BLONDE/GOLD,,,,7.5%,GLASS,BOTTLE,,330ML,X6,
DU BOCQ,SUPER DES FAGNESSUPER DES FAGNES,BEER,ALE,AMBER/COPPER,,,,7.5%,GLASS,BOTTLE,REFILLABLE PACKAGING,250ML,X1,
DIAGEO,GUINNESS (DIAGEO)GUINNESS,BEER,STOUT,BLACK/DARK,,,,8%,GLASS,BOTTLE,REFILLABLE PACKAGING,330ML,X1,
DR. OETKER / RADEBERGER,HENNINGER (DR. OETKER / RADEBERGER)HENNINGER,BEER,PILS/PILSENER/PILSNER,BLONDE/GOLD,,,,4.8%,GLASS,BOTTLE,REFILLABLE PACKAGING,250ML,X24,
JOHN MARTIN,WATERLOO (JOHN MARTIN)WATERLOO,BEER,TRIPEL/TRIPLE,BLONDE/GOLD,,,,8%,GLASS,BOTTLE,REFILLABLE PACKAGING,330ML,X6,
CARLSBERG,TOURTELTOURTEL,BEER LOW/NO ALCOHOL,LAGER,BLONDE/GOLD,,,,0.4%,GLASS,BOTTLE,,250ML,X1,
DU BOCQ,LA GAULOISELA GAULOISE,BEER,ALE,BLONDE/GOLD,,,,7%,GLASS,BOTTLE,REFILLABLE PACKAGING,330ML,X24,
BIERBROUWERIJ VERMEERSEN,STRAFFE HENDRIKSTRAFFE HENDRIK,BEER,ALE,BLACK/DARK,,,,11%,GLASS,BOTTLE,,330ML,X4,
ANHEUSER BUSCH INBEV,JUPILERJUPILER BLUE,BEER,PILS/PILSENER/PILSNER,BLONDE/GOLD,,,,3.3%,METAL,CAN,,330ML,X6,
VAN STEENBERGE,GULDEN DRAAKGULDEN DRAAK,BEER,ALE,BLONDE/GOLD,,,,10.5%,GLASS,BOTTLE,REFILLABLE PACKAGING,330ML,X1,
ANHEUSER BUSCH INBEV,JUPILERJUPILER,BEER,PILS/PILSENER/PILSNER,BLONDE/GOLD,,,,5.2%,METAL,CAN,,330ML,X12,INC 1 FREE
ANHEUSER BUSCH INBEV,HOEGAARDENHOEGAARDEN,BEER,WHEAT BEER,BLONDE/GOLD,,,,4.9%,GLASS,BOTTLE,REFILLABLE PACKAGING,250ML,X1,
JOHN MARTIN,GORDON (JOHN MARTIN)GORDON FINEST,BEER,ALE,BLONDE/GOLD,,,,10%,GLASS,BOTTLE,REFILLABLE PACKAGING,330ML,X4,
HAACHT,CHARLES QUINT (HAACHT)CHARLES QUINT,BEER,PALE ALE,BLONDE/GOLD,,,,8.5%,GLASS,BOTTLE,REFILLABLE PACKAGING,750ML,X1,
BIERES DE CHIMAY,CHIMAYCHIMAY,BEER,TRIPEL/TRIPLE,BLONDE/GOLD,,,,8%,GLASS,BOTTLE,REFILLABLE PACKAGING,750ML,X1,
LA FERME DE L'ABBAYE DE LA RAMEE,LA RAMEELA RAMEE,BEER,,BLONDE/GOLD,,,,8%,GLASS,BOTTLE,REFILLABLE PACKAGING,330ML,X1,
PALM,RODENBACHRODENBACH,BEER,OUD BRUIN,AMBER/COPPER,,,,5.2%,GLASS,BOTTLE,REFILLABLE PACKAGING,250ML,X8,
ANHEUSER BUSCH INBEV,PAUWEL KWAKPAUWEL KWAK,BEER,ALE,AMBER/COPPER,,,,8.4%,GLASS,BOTTLE,REFILLABLE PACKAGING,330ML,X24,
ABBAYE DES ROCS,ABBAYE DES ROCSABBAYE DES ROCS,BEER,ALE,BLACK/DARK,,,,10%,GLASS,BOTTLE,,1500ML,X1,
AHOLD DELHAIZE,DELHAIZEDELHAIZE PREMIUM,BEER,PILS/PILSENER/PILSNER,BLONDE/GOLD,,,,4.9%,METAL,CAN,,500ML,X1,
