,review,review_en
0,就算保质期一个月，还有一个星期过期的巧克力也拿到平台上卖？,"Even if the shelf life of one month, there is a week out of chocolate also get the platform to sell?"
1,太贵！其他的都可以！,Too expensive! Other can be!
2,很理想 满意,Very satisfactory
3,满满的狗粮！谁要吃,Full of dog food! Who wants to eat
4,太小了，有种上当的感觉,"Too small, a kind of fooled feeling"
5,只要老婆喜欢就好,As long as my wife likes like
6,撇撇撇 太撇了,Skimming write too skimmed
7,一星！ 送给两个对象:一个是雷军！一个是京东！ 先说雷军。 握在手机就像一块玻璃～ 是的，黑色板+黑屏，确实整体黑，但亮屏呢？三边框宽，再加个屏幕的大黑边～握在手机是玻璃吗？不是，是相框！是的，就是相框！四边大黑框的相框！！！ 没有对比，就没有伤害！和一代note放在一起，新MIX2的屏幕就是泥巴屏，显色偏黄，无论你调任何模式，屏幕都是偏黄。 再说18:9的5.99寸细长屏，多出来的下端区域放入三个虚拟键，实际可操作区域和5.7寸的note1没啥进步～ 后置摄像头，白光下拍照一般般，夜间就是渣。前置的就不多说了。 对于这个价位的小米，颜值不如MIX1，屏幕不如note1，摄像头更是鸡肋般的落后！ 雷军，MIX2宣传照的边框你能P更细点吗？如此作为，你不觉得汗颜？ 再说京东！ 9月15没抢购到。21日显示现货，抢到了，却显示要订货，要30日才能有货～和雷军的双簧？预售？ 因为在外地出差抢购的，抢到后却没现货，回到住地，京东发货却不能改收货地址。只能让当地朋友代收，再转发给我，等到手都是收货6天了。 虽然最后没有退货，但是，这应该是最后一台小米了，没有以后！ 下面追评再细说京东一星，坑！,"one star! Give two objects: one is Lei Jun! One is Jingdong! Let's say Lei Jun. Hold the phone is like a piece of glass ~ yes, black board + black screen, really black, but bright screen? Three border wide, plus a big black screen ~ hold the phone is glass? No, it's a picture frame! Yes, it's a picture frame! Large black frame on both sides of the picture frame! ! ! No comparison, there is no harm! Put together with a generation note, the new MIX2 screen is mud screen, color yellow, no matter what mode you tune, the screen is yellow. Say 18: 9 5.99-inch slender screen, more out of the lower end of the area into the three virtual keys, the actual operation of the area and the 5.7-inch note1 nothing to improve ~ rear camera, white light like a normal night is slag. Pre-not much to say. For this price of millet, the value of the color is not as good as MIX1, the screen is not as good as note1, camera is chicken-like backward! Lei Jun, MIX2 promotional photos of the border you can P finer point? So, do not you feel ashamed? Say Jingdong! September 15 did not buy to. 21 shows the spot, grabbed, but it shows that to order, to be available on the 30th ~ and Lei Jun's double spring? Pre-sale? Because travel in the field snapped up, but did not grab the spot, back to accommodation, Jingdong delivery but can not change the delivery address. Only allow local friends collection, and then forwarded to me, until the hands are receiving 6 days. Although there is no return, but this should be the last millet, no later! Followed by the pursuit of detailed Jingdong a star, pit!"
8,质量不是很好。,Quality is not good.
9,手机用了一天，大体还行，加了100的价格。跟手感真的没有6s好，天马屏手感一般。但是苹果不支持双卡，没办法，也知足了，价格就不是在同一个段位的。关键是所谓送的膜，套，耳机，指环，质量真的不行，评论还不给上图。统一上图到这里。手机没什么问题，就不上了，气得！,"The phone took a day, generally okay, plus a 100 price. 6s is really good with the hand feel, Pegasus screen feel in general. But Apple does not support dual-card, no way, contentment, the price is not in the same paragraph. The key is to send the so-called film, sleeve, headphones, ring, the quality is really not, comment not to the map. Unity on the map here. Mobile phone no problem, not on the air!"
10,一般吧，不怎么大,"In general, not very big"
11,信赖京东，质量不错，性价比高，推荐购买～,"Jingdong trust, good quality, cost-effective, it is recommended to buy ~"
12,还可以，，，，，，，，,"is acceptable,,,,,,,,"
13,一般，不是很Q。,"In general, not very Q."
14,给家人买的还不错哦。,Not bad for the family.
15,每个糖只有一半，不饱满，太假了。,"Only half of each sugar, not full, too fake."
16,味道还行，就是好咸太咸了,"Taste ok, salty is too salty"
17,好吃 正品 继续购买支持,Delicious authentic continue to buy support
18,提醒大家谁也别去京东买三星了note8了，产品e和note7一样服务差，质量差，估计还会炸机，买了7天机器死机，系统卡，申请换机，不给换，刚买的时候手机右下角屏幕有块缺失，以为是胶或者脏东西，第十天我休息去给手机贴膜，结果贴膜的师傅说你手机这块有损坏吧？仔细一看屏幕有一个白点，右下角位置，再次申请换货，结果售后的男的给我打电话用套路问我你收到是好的吗？我说可能是好的，结果三星售后就跟我说你看你收到是好的，现在说屏幕有问题，那就是后期磕碰的，想问一下，我买到手机右下角这么点点，我也没仔细看，觉着是脏东西，就没在乎，现在三星售后就抓住不放了，还最后不给换也不处理，直接说返给20块钱卷，不管了，我花7000块钱买个手机，天天心疼的和宝似得，我闲着没事摔它啊？三星，韩国产品售后就是差，服务太差，劝大家都别买三星note8，谁买谁后悔。,"Remind everyone who do not go to Beijing to buy a Samsung note8, e and note7 product poor service, poor quality, it is estimated will be fried, bought a 7-day machine crashes, system card, apply for replacement, do not change, just bought When the cell phone there is a missing piece in the lower right corner of the screen, that is glue or dirty things, the tenth day I go to the phone to rest the film, the result of the film that your cell phone is damaged, right? A closer look at the screen has a white point, the lower right corner of the position, once again apply for replacement, the results of the sale of the man to call me Routine Q. Did you receive is good? I said it may be good, the result told me Samsung aftermarket you see you see you received is good, and now that the screen is a problem, that is late bump, would like to ask, I bought the phone so that the lower right corner, I also Did not look carefully, I feel it is dirty things, do not care, and now Samsung seize the sale, but also do not change the last deal, do not say directly back to 20 dollars, no matter, I spent 7000 dollars Buy a cell phone, treasure every day and feel like, I am free to throw it idle ah? Samsung, South Korea is poor after-sales service, poor service, advise everyone not to buy Samsung note8, who regret buying who."
19,润喉的，之前买过很多种，这个品牌是第一次买，只希望好用有效。,"Throat throat, before buying a lot of species, the brand is the first time to buy, only hoping to use and effective."
20,送的试吃 狗狗吃了挺好的,Try to eat the dog to eat very good
21,好大的白白的棉花糖，,"Big white cotton candy,"
22,不错 味道蛮好的 最大的缺陷 就是缺货 这个问题很严重,Good taste is just fine The biggest flaw is the stock shortage is a serious problem
23,宝贝收到了，真心不错,"Baby received, really good"
24,质量还行，红色很喜庆，快递也快，店家摆放盒子也很整洁，总体很喜欢很喜欢，就等着用啦。哈哈。。。,"Quality is OK, red is festive, express delivery is also fast, the store is also very neat box, generally like to like, just wait to use it. Haha. . ."
25,老婆很喜欢，口味不错，玫瑰也好看，谢谢商家和快递小哥,"Wife is like, taste good, rose is also good-looking, thank you businesses and courier brother"
