column,count,unique,top_1,count_1,top_2,count_2,top_3,count_3,top_4,count_4,top_5,count_5
allClaimsList_0,1042,622,,54,% DAILY VALUE*,44,4 PACK,19,ZERO CALORIES,17,NO FRUIT JUICE,16
allClaimsList_1,1042,706,,56,ENERGY DRINK,18,"*PERCENT DAILY VALUES ARE BASED ON A 2,000 CALORIE DIET.",16,BEST BY,15,ENERGY,14
allClaimsList_10,1042,705,,151,"NOT A SIGNIFICANT SOURCE OF CALORIES FROM FAT, SATURATED FAT, TRANS FAT, CHOLESTEROL, DIETARY FIBER, VITAMIN A, VITAMIN C, CALCIUM AND IRON.",18,CONTAINS NO FRUIT JUICE,17,REFRIGERATE AFTER OPENING,14,"* PERCENT DAILY VALUES ARE BASED ON A 2,000 CALORIE DIET.",9
allClaimsList_11,1042,658,,195,"NOT A SIGNIFICANT SOURCE OF CALORIES FROM FAT, SATURATED FAT, TRANS FAT, CHOLESTEROL, DIETARY FIBER, VITAMIN A, VITAMIN C, CALCIUM AND IRON.",28,CONTAINS NO FRUIT JUICE,15,REFRIGERATE AFTER OPENING,11,"* PERCENT DAILY VALUES ARE BASED ON A 2,000 CALORIE DIET.",10
allClaimsList_12,1042,633,,249,"NOT A SIGNIFICANT SOURCE OF CALORIES FROM FAT, SATURATED FAT, TRANS FAT, CHOLESTEROL, DIETARY FIBER, VITAMIN A, VITAMIN C, CALCIUM AND IRON.",20,"* PERCENT DAILY VALUES ARE BASED ON A 2,000 CALORIE DIET.",15,PLEASE RECYCLE,9,CONTAINS NO FRUIT JUICE,8
allClaimsList_13,1042,575,,294,"NOT A SIGNIFICANT SOURCE OF CALORIES FROM FAT, SATURATED FAT, TRANS FAT, CHOLESTEROL, DIETARY FIBER, VITAMIN A, VITAMIN C, CALCIUM AND IRON.",29,PLEASE RECYCLE,12,"*PERCENT DAILY VALUES ARE BASED ON A 2,000 CALORIE DIET.",10,"* PERCENT DAILY VALUES ARE BASED ON A 2,000 CALORIE DIET.",10
allClaimsList_14,1042,527,,366,"NOT A SIGNIFICANT SOURCE OF CALORIES FROM FAT, SATURATED FAT, TRANS FAT, CHOLESTEROL, DIETARY FIBER, VITAMIN A, VITAMIN C, CALCIUM AND IRON.",26,"*PERCENT DAILY VALUES ARE BASED ON A 2,000 CALORIE DIET.",17,"* PERCENT DAILY VALUES ARE BASED ON A 2,000 CALORIE DIET.",15,PLEASE RECYCLE,10
allClaimsList_15,1042,506,,424,"NOT A SIGNIFICANT SOURCE OF CALORIES FROM FAT, SATURATED FAT, TRANS FAT, CHOLESTEROL, DIETARY FIBER, VITAMIN A, VITAMIN C, CALCIUM AND IRON.",18,"*PERCENT DAILY VALUES ARE BASED ON A 2,000 CALORIE DIET.",15,REFRIGERATE AFTER OPENING.,7,PLEASE RECYCLE,7
allClaimsList_16,1042,462,,479,"NOT A SIGNIFICANT SOURCE OF CALORIES FROM FAT, SATURATED FAT, TRANS FAT, CHOLESTEROL, DIETARY FIBER, VITAMIN A, VITAMIN C, CALCIUM AND IRON.",13,"*PERCENT DAILY VALUES ARE BASED ON A 2,000 CALORIE DIET.",8,PLEASE RECYCLE,5,ONE PACKET CAN BE MIXED INTO A 20 FL OZ BOTTLE OF WATER FOR A LIGHTER FLAVOR. ALSO TASTES GREAT MADE WITH TAP WATER.,4
allClaimsList_17,1042,410,,536,"*PERCENT DAILY VALUES ARE BASED ON A 2,000 CALORIE DIET.",17,"NOT A SIGNIFICANT SOURCE OF CALORIES FROM FAT, SATURATED FAT, TRANS FAT, CHOLESTEROL, DIETARY FIBER, VITAMIN A, VITAMIN C, CALCIUM AND IRON.",12,PLEASE RECYCLE,8,DOES NOT NEED REFRIGERATION,5
